"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"75-84 years"	"75-84"	2451	36501	6714.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"85+ years"	"85+"	1374	8087	16990.2
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"			8992	1026225	876.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"15-19 years"	"15-19"	93	88612	105.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"20-24 years"	"20-24"	170	132678	128.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"25-34 years"	"25-34"	544	261854	207.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"35-44 years"	"35-44"	735	207462	354.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"45-54 years"	"45-54"	636	126142	504.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"55-64 years"	"55-64"	1025	82386	1244.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"65-74 years"	"65-74"	2027	73634	2752.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"75-84 years"	"75-84"	2475	37810	6545.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"	"85+ years"	"85+"	1414	8495	16645.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1993"	"1993"			9119	1019073	894.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"15-19 years"	"15-19"	81	89542	90.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"20-24 years"	"20-24"	154	126417	121.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"25-34 years"	"25-34"	493	256961	191.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"35-44 years"	"35-44"	743	210297	353.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"45-54 years"	"45-54"	702	131602	533.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"55-64 years"	"55-64"	974	82449	1181.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"65-74 years"	"65-74"	2122	73640	2881.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"75-84 years"	"75-84"	2658	39113	6795.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"	"85+ years"	"85+"	1527	8877	17201.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1994"	"1994"			9454	1018898	927.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"15-19 years"	"15-19"	84	90399	92.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"20-24 years"	"20-24"	139	121324	114.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"25-34 years"	"25-34"	450	251390	179.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"35-44 years"	"35-44"	708	212715	332.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"45-54 years"	"45-54"	683	136702	499.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"55-64 years"	"55-64"	980	82331	1190.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"65-74 years"	"65-74"	2023	73787	2741.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"75-84 years"	"75-84"	2617	40727	6425.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"	"85+ years"	"85+"	1550	9349	16579.3
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1995"	"1995"			9234	1018724	906.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"15-19 years"	"15-19"	66	93738	70.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"20-24 years"	"20-24"	133	117837	112.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"25-34 years"	"25-34"	345	246454	140.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"35-44 years"	"35-44"	640	216612	295.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"45-54 years"	"45-54"	677	142918	473.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"55-64 years"	"55-64"	963	83341	1155.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"65-74 years"	"65-74"	2001	73574	2719.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"75-84 years"	"75-84"	2757	42843	6435.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"	"85+ years"	"85+"	1598	9804	16299.5
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1996"	"1996"			9180	1027121	893.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"15-19 years"	"15-19"	65	96862	67.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"20-24 years"	"20-24"	134	118781	112.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"25-34 years"	"25-34"	297	242468	122.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"35-44 years"	"35-44"	516	221965	232.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"45-54 years"	"45-54"	663	150910	439.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"55-64 years"	"55-64"	1009	85923	1174.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"65-74 years"	"65-74"	1885	73946	2549.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"75-84 years"	"75-84"	2875	45477	6321.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"	"85+ years"	"85+"	1783	10482	17010.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1997"	"1997"			9227	1046814	881.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"15-19 years"	"15-19"	70	100431	69.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"20-24 years"	"20-24"	119	120462	98.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"25-34 years"	"25-34"	234	238520	98.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"35-44 years"	"35-44"	492	227386	216.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"45-54 years"	"45-54"	749	158480	472.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"55-64 years"	"55-64"	989	90678	1090.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"65-74 years"	"65-74"	1923	73669	2610.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"75-84 years"	"75-84"	2995	47023	6369.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"	"85+ years"	"85+"	1734	11030	15720.8
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1998"	"1998"			9305	1067679	871.5
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"					157672	17841299	883.7
"Total"	"San Diego County, CA"	"06073"							157672	17841299	883.7
"Total"									157672	17841299	883.7
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Age Group: 15-19 years; 20-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Gender: Male"
"States: San Diego County, CA (06073)"
"Year: 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998"
"Group By: County; Gender; Year; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Sep 17, 2021 7:24:42 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
"1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html on Sep 17, 2021 7:24:42 AM"
"---"
Caveats:
"1. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
